period,calendar_month,year,retail_demand,phase
1,January,2025,37200,baseline
2,February,2025,36200,baseline
3,March,2025,43500,baseline
4,April,2025,36200,baseline
5,May,2025,37200,baseline
6,June,2025,34300,baseline
7,July,2025,33700,baseline
8,August,2025,35100,baseline
9,September,2025,37200,baseline
10,October,2025,40400,festive
11,November,2025,41600,festive
12,December,2025,37700,baseline
13,January,2026,39000,baseline
14,February,2026,38000,baseline
15,March,2026,45600,baseline
16,April,2026,38000,baseline
17,May,2026,39000,baseline
18,June,2026,36000,baseline
19,July,2026,35400,baseline
20,August,2026,36800,baseline
21,September,2026,39000,baseline
22,October,2026,42400,festive
23,November,2026,43600,festive
24,December,2026,39600,baseline
25,January,2027,41000,fulfilment_only
